NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
171646	NA	11	4	2,70756
171646	NA	12	0	0
171646	NA	13	1	0,67689
171646	NA	14	0	0
171646	NA	15	2238	1514,87773
171646	NA	16	1195	695,95028
171646	NA	17	103	64,36262
171646	NA	18	4563	3088,6448
171646	NA	19	3694	2308,30606
171646	NA	20	384	223,63591
171646	NA	21	68	39,60219
171646	NA	22	374	253,15651
171646	NA	23	1	0,67689
171646	NA	24	0	0
171646	NA	25	5	3,1244
171646	NA	26	22	12,02204
171646	NA	27	40	27,07556
171646	NA	28	0	0
171646	NA	29	83	48,33797
171646	NA	30	30	16,39369
171646	NA	31	0	0
171646	NA	32	20	11,6477
171646	NA	33	2	1,16477
171646	NA	34	1	0,58239
171646	NA	35	25	15,622
171646	NA	36	0	0
171646	NA	37	0	0
171646	NA	38	0	0
171646	NA	39	0	0
171646	NA	40	0	0
171646	NA	41	5	2,91193
171646	NA	42	2	1,09291
171646	NA	43	0	0
171646	NA	44	0	0
171646	NA	45	0	0
171646	NA	46	0	0
171646	NA	47	0	0
171646	NA	48	1	0,54646
171646	NA	49	0	0
171646	NA	50	0	0
171646	NA	51	0	0
171646	NA	52	0	0
171646	NA	53	0	0
171646	NA	54	0	0
171646	NA	55	0	0
171646	NA	56	0	0
171646	NA	57	0	0
171646	NA	58	0	0
171646	NA	59	0	0
171646	NA	60	0	0
171646	NA	61	0	0
171646	NA	62	0	0
171646	NA	63	0	0
171646	NA	64	0	0
171646	NA	65	0	0
171646	NA	66	0	0
171646	NA	67	0	0
171646	NA	68	0	0
171646	NA	69	0	0
171646	NA	70	0	0
171646	NA	71	0	0
171646	NA	72	0	0
171647	NA	0	9	9
171647	NA	1	348	291,7787
171647	NA	2	34	28,50711
171647	NA	3	2	1,67689
171647	NA	4	2245	1670,14674
171647	NA	5	2367	1602,19642
171647	NA	6	20918	15561,75036
171647	NA	7	71	52,81979
171647	NA	8	29	19,62978
171647	NA	9	120	89,27288
171647	NA	10	331	224,05028
171647	NA	11	12	8,12267
171647	NA	12	14	9,47645
171647	NA	13	1	0,67689
171647	NA	14	0	0
171647	NA	15	26936	18232,68386
171647	NA	16	14622	8515,63603
171647	NA	17	19184	11987,69449
171647	NA	18	35182	23814,31109
171647	NA	19	199567	124705,39129
171647	NA	20	140287	81701,06903
171647	NA	21	6843	3985,26175
171647	NA	22	1093898	740447,59455
171647	NA	23	90	60,92002
171647	NA	24	6014	4070,81084
171647	NA	25	12072	7543,5492
171647	NA	26	1974	1078,70506
171647	NA	27	316	213,89694
171647	NA	28	788	458,91952
171647	NA	29	1901	1107,11422
171647	NA	30	98	53,55273
171647	NA	31	15192	10283,29868
171647	NA	32	19266	11220,23278
171647	NA	33	30	17,47156
171647	NA	34	87	50,66751
171647	NA	35	2409	1505,33549
171647	NA	36	411	239,36031
171647	NA	37	4746	2593,48237
171647	NA	38	169	92,35114
171647	NA	39	575	359,3059
171647	NA	40	2683	1466,14269
171647	NA	41	54	31,4488
171647	NA	42	6	3,27874
171647	NA	43	93	54,16182
171647	NA	44	0	0
171647	NA	45	82	51,24015
171647	NA	46	98	57,07375
171647	NA	47	84	43,28802
171647	NA	48	185	101,09445
171647	NA	49	130	75,71007
171647	NA	50	2	1,16477
171647	NA	51	50	25,76668
171647	NA	52	84	48,92035
171647	NA	53	12	5,85458
171647	NA	54	51	31,86887
171647	NA	55	0	0
171647	NA	56	20	13,53778
171647	NA	57	0	0
171647	NA	58	0	0
171647	NA	59	27	14,75432
171647	NA	60	10	5,15334
171647	NA	61	0	0
171647	NA	62	1	0,58239
171647	NA	63	0	0
171647	NA	64	14	7,65039
171647	NA	65	0	0
171647	NA	66	0	0
171647	NA	67	0	0
171647	NA	68	2	1,03067
171647	NA	69	0	0
171647	NA	70	0	0
171647	NA	71	0	0
171647	NA	72	0	0
171671	NA	0	1	1
171671	NA	1	10	8,38445
171671	NA	2	0	0
171671	NA	3	0	0
171671	NA	4	121	90,01682
171671	NA	5	0	0
171671	NA	6	44	32,73339
171671	NA	7	0	0
171671	NA	8	0	0
171671	NA	9	1	0,74394
171671	NA	10	0	0
171671	NA	11	0	0
171671	NA	12	0	0
171671	NA	13	0	0
171671	NA	14	0	0
171671	NA	15	2374	1606,93464
171671	NA	16	0	0
171671	NA	17	0	0
171671	NA	18	2438	1650,25554
171671	NA	19	976	609,88271
171671	NA	20	0	0
171671	NA	21	0	0
171671	NA	22	112	75,81158
171671	NA	23	0	0
171671	NA	24	71	48,05912
171671	NA	25	0	0
171671	NA	26	0	0
171671	NA	27	44	29,78312
171671	NA	28	0	0
171671	NA	29	0	0
171671	NA	30	0	0
171671	NA	31	8	5,41511
171671	NA	32	0	0
171671	NA	33	0	0
171671	NA	34	0	0
171671	NA	35	21	13,12248
171671	NA	36	0	0
171671	NA	37	0	0
171671	NA	38	0	0
171671	NA	39	0	0
171671	NA	40	0	0
171671	NA	41	0	0
171671	NA	42	0	0
171671	NA	43	0	0
171671	NA	44	0	0
171671	NA	45	0	0
171671	NA	46	0	0
171671	NA	47	0	0
171671	NA	48	0	0
171671	NA	49	0	0
171671	NA	50	0	0
171671	NA	51	0	0
171671	NA	52	0	0
171671	NA	53	0	0
171671	NA	54	0	0
171671	NA	55	0	0
171671	NA	56	0	0
171671	NA	57	0	0
171671	NA	58	0	0
171671	NA	59	0	0
171671	NA	60	0	0
171671	NA	61	0	0
171671	NA	62	0	0
171671	NA	63	0	0
171671	NA	64	0	0
171671	NA	65	0	0
171671	NA	66	0	0
171671	NA	67	0	0
171671	NA	68	0	0
171671	NA	69	0	0
171671	NA	70	0	0
171671	NA	71	0	0
171671	NA	72	0	0
171675	NA	0	1	1
171675	NA	1	10	8,38445
171675	NA	2	0	0
171675	NA	3	0	0
171675	NA	4	70	52,07584
171675	NA	5	0	0
171675	NA	6	45	33,47733
171675	NA	7	0	0
171675	NA	8	0	0
171675	NA	9	0	0
171675	NA	10	0	0
171675	NA	11	0	0
171675	NA	12	0	0
171675	NA	13	0	0
171675	NA	14	0	0
171675	NA	15	1790	1211,63143
171675	NA	16	0	0
171675	NA	17	0	0
171675	NA	18	387	261,95607
171675	NA	19	610	381,17669
171675	NA	20	0	0
171675	NA	21	0	0
171675	NA	22	120	81,22669
171675	NA	23	0	0
171675	NA	24	0	0
171675	NA	25	0	0
171675	NA	26	0	0
171675	NA	27	6	4,06133
171675	NA	28	0	0
171675	NA	29	0	0
171675	NA	30	0	0
171675	NA	31	0	0
171675	NA	32	0	0
171675	NA	33	0	0
171675	NA	34	0	0
171675	NA	35	10	6,2488
171675	NA	36	0	0
171675	NA	37	0	0
171675	NA	38	0	0
171675	NA	39	0	0
171675	NA	40	0	0
171675	NA	41	0	0
171675	NA	42	0	0
171675	NA	43	0	0
171675	NA	44	0	0
171675	NA	45	0	0
171675	NA	46	0	0
171675	NA	47	0	0
171675	NA	48	0	0
171675	NA	49	0	0
171675	NA	50	0	0
171675	NA	51	0	0
171675	NA	52	0	0
171675	NA	53	0	0
171675	NA	54	0	0
171675	NA	55	0	0
171675	NA	56	0	0
171675	NA	57	0	0
171675	NA	58	0	0
171675	NA	59	0	0
171675	NA	60	0	0
171675	NA	61	0	0
171675	NA	62	0	0
171675	NA	63	0	0
171675	NA	64	0	0
171675	NA	65	0	0
171675	NA	66	0	0
171675	NA	67	0	0
171675	NA	68	0	0
171675	NA	69	0	0
171675	NA	70	0	0
171675	NA	71	0	0
171675	NA	72	0	0
171678	NA	0	2	2
171678	NA	1	25	20,96111
171678	NA	2	1	0,83844
171678	NA	3	0	0
171678	NA	4	690	513,31904
171678	NA	5	25	16,92223
171678	NA	6	184	136,88508
171678	NA	7	0	0
171678	NA	8	0	0
171678	NA	9	2	1,48788
171678	NA	10	0	0
171678	NA	11	0	0
171678	NA	12	0	0
171678	NA	13	0	0
171678	NA	14	0	0
171678	NA	15	4522	3060,89235
171678	NA	16	682	397,18669
171678	NA	17	110	68,73678
171678	NA	18	27383	18535,25327
171678	NA	19	10513	6569,36156
